Data/tokenizer loaded in 0.1s
Time budget: 300s
Gradient accumulation steps: 1
Model compiled in 0.8s

step 00046 (9.7%) | loss: 7.138625 | lrm: 1.00 | dt: 640ms | tok/sec: 25,595 | epoch: 1 | remaining: 270s    
step 00047 (9.9%) | loss: 7.108250 | lrm: 1.00 | dt: 643ms | tok/sec: 25,494 | epoch: 1 | remaining: 270s    
step 00048 (10.1%) | loss: 7.079120 | lrm: 1.00 | dt: 649ms | tok/sec: 25,227 | epoch: 1 | remaining: 269s    
step 00049 (10.3%) | loss: 7.057474 | lrm: 1.00 | dt: 640ms | tok/sec: 25,589 | epoch: 1 | remaining: 268s    
step 00050 (10.5%) | loss: 7.039961 | lrm: 1.00 | dt: 645ms | tok/sec: 25,402 | epoch: 1 | remaining: 268s    
step 00051 (10.7%) | loss: 7.019513 | lrm: 1.00 | dt: 642ms | tok/sec: 25,533 | epoch: 1 | remaining: 267s    
step 00052 (10.9%) | loss: 6.989146 | lrm: 1.00 | dt: 640ms | tok/sec: 25,616 | epoch: 1 | remaining: 267s    
step 00053 (11.2%) | loss: 6.961242 | lrm: 1.00 | dt: 649ms | tok/sec: 25,264 | epoch: 1 | remaining: 266s    
step 00054 (11.4%) | loss: 6.945679 | lrm: 1.00 | dt: 640ms | tok/sec: 25,580 | epoch: 1 | remaining: 265s    
step 00055 (11.6%) | loss: 6.936016 | lrm: 1.00 | dt: 642ms | tok/sec: 25,538 | epoch: 1 | remaining: 265s    
step 00056 (11.8%) | loss: 6.913008 | lrm: 1.00 | dt: 647ms | tok/sec: 25,330 | epoch: 1 | remaining: 264s    
step 00057 (12.0%) | loss: 6.891483 | lrm: 1.00 | dt: 640ms | tok/sec: 25,594 | epoch: 1 | remaining: 263s    
step 00058 (12.2%) | loss: 6.868848 | lrm: 1.00 | dt: 674ms | tok/sec: 24,318 | epoch: 1 | remaining: 263s    
step 00059 (12.5%) | loss: 6.851553 | lrm: 1.00 | dt: 641ms | tok/sec: 25,552 | epoch: 1 | remaining: 262s    
step 00060 (12.7%) | loss: 6.836955 | lrm: 1.00 | dt: 640ms | tok/sec: 25,590 | epoch: 1 | remaining: 261s    
step 00061 (12.9%) | loss: 6.816382 | lrm: 1.00 | dt: 644ms | tok/sec: 25,457 | epoch: 1 | remaining: 261s    
step 00062 (13.1%) | loss: 6.793866 | lrm: 1.00 | dt: 643ms | tok/sec: 25,485 | epoch: 1 | remaining: 260s    
step 00063 (13.3%) | loss: 6.777129 | lrm: 1.00 | dt: 651ms | tok/sec: 25,179 | epoch: 1 | remaining: 259s    
step 00064 (13.5%) | loss: 6.758210 | lrm: 1.00 | dt: 640ms | tok/sec: 25,590 | epoch: 1 | remaining: 259s    
step 00065 (13.7%) | loss: 6.751076 | lrm: 1.00 | dt: 644ms | tok/sec: 25,437 | epoch: 1 | remaining: 258s    
step 00066 (14.0%) | loss: 6.736253 | lrm: 1.00 | dt: 639ms | tok/sec: 25,626 | epoch: 1 | remaining: 257s    
step 00067 (14.2%) | loss: 6.713604 | lrm: 1.00 | dt: 643ms | tok/sec: 25,473 | epoch: 1 | remaining: 257s    
step 00068 (14.4%) | loss: 6.698118 | lrm: 1.00 | dt: 651ms | tok/sec: 25,178 | epoch: 1 | remaining: 256s    
step 00069 (14.6%) | loss: 6.679265 | lrm: 1.00 | dt: 641ms | tok/sec: 25,571 | epoch: 1 | remaining: 256s    
step 00070 (14.8%) | loss: 6.671272 | lrm: 1.00 | dt: 643ms | tok/sec: 25,499 | epoch: 1 | remaining: 255s    
