Data/tokenizer loaded in 0.1s
Time budget: 300s
Gradient accumulation steps: 1
Model compiled in 0.4s

step 00046 (5.0%) | loss: 7.420166 | lrm: 1.00 | dt: 333ms | tok/sec: 24,580 | epoch: 1 | remaining: 285s    
step 00047 (5.1%) | loss: 7.395080 | lrm: 1.00 | dt: 333ms | tok/sec: 24,591 | epoch: 1 | remaining: 284s    
step 00048 (5.2%) | loss: 7.367407 | lrm: 1.00 | dt: 340ms | tok/sec: 24,108 | epoch: 1 | remaining: 284s    
step 00049 (5.3%) | loss: 7.351499 | lrm: 1.00 | dt: 332ms | tok/sec: 24,642 | epoch: 1 | remaining: 284s    
step 00050 (5.4%) | loss: 7.340363 | lrm: 1.00 | dt: 331ms | tok/sec: 24,718 | epoch: 1 | remaining: 283s    
step 00051 (5.6%) | loss: 7.327152 | lrm: 1.00 | dt: 331ms | tok/sec: 24,712 | epoch: 1 | remaining: 283s    
step 00052 (5.7%) | loss: 7.317056 | lrm: 1.00 | dt: 335ms | tok/sec: 24,420 | epoch: 1 | remaining: 283s    
step 00053 (5.8%) | loss: 7.300940 | lrm: 1.00 | dt: 333ms | tok/sec: 24,566 | epoch: 1 | remaining: 282s    
step 00054 (5.9%) | loss: 7.272201 | lrm: 1.00 | dt: 333ms | tok/sec: 24,632 | epoch: 1 | remaining: 282s    
step 00055 (6.0%) | loss: 7.241145 | lrm: 1.00 | dt: 333ms | tok/sec: 24,605 | epoch: 1 | remaining: 282s    
step 00056 (6.1%) | loss: 7.213761 | lrm: 1.00 | dt: 333ms | tok/sec: 24,616 | epoch: 1 | remaining: 281s    
step 00057 (6.2%) | loss: 7.185183 | lrm: 1.00 | dt: 332ms | tok/sec: 24,649 | epoch: 1 | remaining: 281s    
step 00058 (6.3%) | loss: 7.170661 | lrm: 1.00 | dt: 342ms | tok/sec: 23,924 | epoch: 1 | remaining: 281s    
step 00059 (6.4%) | loss: 7.147537 | lrm: 1.00 | dt: 335ms | tok/sec: 24,431 | epoch: 1 | remaining: 280s    
step 00060 (6.6%) | loss: 7.124709 | lrm: 1.00 | dt: 332ms | tok/sec: 24,648 | epoch: 1 | remaining: 280s    
step 00061 (6.7%) | loss: 7.115816 | lrm: 1.00 | dt: 332ms | tok/sec: 24,682 | epoch: 1 | remaining: 280s    
step 00062 (6.8%) | loss: 7.091122 | lrm: 1.00 | dt: 331ms | tok/sec: 24,715 | epoch: 1 | remaining: 279s    
step 00063 (6.9%) | loss: 7.067816 | lrm: 1.00 | dt: 331ms | tok/sec: 24,736 | epoch: 1 | remaining: 279s    
step 00064 (7.0%) | loss: 7.042616 | lrm: 1.00 | dt: 332ms | tok/sec: 24,704 | epoch: 1 | remaining: 279s    
step 00065 (7.1%) | loss: 7.017138 | lrm: 1.00 | dt: 332ms | tok/sec: 24,653 | epoch: 1 | remaining: 278s    
step 00066 (7.2%) | loss: 6.994706 | lrm: 1.00 | dt: 331ms | tok/sec: 24,744 | epoch: 1 | remaining: 278s    
step 00067 (7.3%) | loss: 6.984581 | lrm: 1.00 | dt: 333ms | tok/sec: 24,636 | epoch: 1 | remaining: 278s    
step 00068 (7.4%) | loss: 6.965105 | lrm: 1.00 | dt: 339ms | tok/sec: 24,181 | epoch: 1 | remaining: 277s    
step 00069 (7.6%) | loss: 6.956426 | lrm: 1.00 | dt: 331ms | tok/sec: 24,767 | epoch: 1 | remaining: 277s    
step 00070 (7.7%) | loss: 6.944152 | lrm: 1.00 | dt: 331ms | tok/sec: 24,725 | epoch: 1 | remaining: 277s    
step 00071 (7.8%) | loss: 6.915712 | lrm: 1.00 | dt: 332ms | tok/sec: 24,680 | epoch: 1 | remaining: 276s    
step 00072 (7.9%) | loss: 6.899218 | lrm: 1.00 | dt: 332ms | tok/sec: 24,680 | epoch: 1 | remaining: 276s    
step 00073 (8.0%) | loss: 6.892570 | lrm: 1.00 | dt: 334ms | tok/sec: 24,559 | epoch: 1 | remaining: 276s    
step 00074 (8.1%) | loss: 6.869864 | lrm: 1.00 | dt: 333ms | tok/sec: 24,614 | epoch: 1 | remaining: 275s    
step 00075 (8.2%) | loss: 6.859014 | lrm: 1.00 | dt: 331ms | tok/sec: 24,719 | epoch: 1 | remaining: 275s    
step 00076 (8.3%) | loss: 6.828945 | lrm: 1.00 | dt: 333ms | tok/sec: 24,576 | epoch: 1 | remaining: 275s    
step 00077 (8.4%) | loss: 6.808323 | lrm: 1.00 | dt: 340ms | tok/sec: 24,080 | epoch: 1 | remaining: 274s    
step 00078 (8.6%) | loss: 6.792529 | lrm: 1.00 | dt: 332ms | tok/sec: 24,694 | epoch: 1 | remaining: 274s    
step 00079 (8.7%) | loss: 6.778338 | lrm: 1.00 | dt: 333ms | tok/sec: 24,627 | epoch: 1 | remaining: 274s    
step 00080 (8.8%) | loss: 6.788801 | lrm: 1.00 | dt: 342ms | tok/sec: 23,941 | epoch: 1 | remaining: 273s    
step 00081 (8.9%) | loss: 6.785064 | lrm: 1.00 | dt: 332ms | tok/sec: 24,669 | epoch: 1 | remaining: 273s    
step 00082 (9.0%) | loss: 6.769332 | lrm: 1.00 | dt: 337ms | tok/sec: 24,340 | epoch: 1 | remaining: 273s    
step 00083 (9.1%) | loss: 6.748059 | lrm: 1.00 | dt: 334ms | tok/sec: 24,500 | epoch: 1 | remaining: 272s    
