Data/tokenizer loaded in 0.1s
Time budget: 300s
Gradient accumulation steps: 1
Model compiled in 1.4s

step 00045 (18.8%) | loss: 7.011641 | lrm: 1.00 | dt: 1306ms | tok/sec: 25,093 | epoch: 1 | remaining: 242s    
step 00046 (19.2%) | loss: 6.995033 | lrm: 1.00 | dt: 1284ms | tok/sec: 25,512 | epoch: 1 | remaining: 241s    
step 00047 (19.6%) | loss: 6.983197 | lrm: 1.00 | dt: 1298ms | tok/sec: 25,240 | epoch: 1 | remaining: 240s    
step 00048 (20.1%) | loss: 6.967081 | lrm: 1.00 | dt: 1292ms | tok/sec: 25,360 | epoch: 1 | remaining: 239s    
step 00049 (20.5%) | loss: 6.954531 | lrm: 1.00 | dt: 1286ms | tok/sec: 25,482 | epoch: 1 | remaining: 237s    
step 00050 (20.9%) | loss: 6.934292 | lrm: 1.00 | dt: 1286ms | tok/sec: 25,477 | epoch: 1 | remaining: 236s    
step 00051 (21.4%) | loss: 6.923430 | lrm: 1.00 | dt: 1274ms | tok/sec: 25,721 | epoch: 1 | remaining: 235s    
step 00052 (21.8%) | loss: 6.909124 | lrm: 1.00 | dt: 1283ms | tok/sec: 25,546 | epoch: 1 | remaining: 233s    
step 00053 (22.2%) | loss: 6.893504 | lrm: 1.00 | dt: 1272ms | tok/sec: 25,763 | epoch: 1 | remaining: 232s    
step 00054 (22.6%) | loss: 6.873534 | lrm: 1.00 | dt: 1272ms | tok/sec: 25,752 | epoch: 1 | remaining: 231s    
step 00055 (23.1%) | loss: 6.855093 | lrm: 1.00 | dt: 1282ms | tok/sec: 25,561 | epoch: 1 | remaining: 230s    
step 00056 (23.5%) | loss: 6.836646 | lrm: 1.00 | dt: 1274ms | tok/sec: 25,726 | epoch: 1 | remaining: 228s    
step 00057 (23.9%) | loss: 6.816517 | lrm: 1.00 | dt: 1288ms | tok/sec: 25,444 | epoch: 1 | remaining: 227s    
step 00058 (24.3%) | loss: 6.806690 | lrm: 1.00 | dt: 1299ms | tok/sec: 25,224 | epoch: 1 | remaining: 226s    
step 00059 (24.8%) | loss: 6.781259 | lrm: 1.00 | dt: 1292ms | tok/sec: 25,355 | epoch: 1 | remaining: 224s    
step 00060 (25.2%) | loss: 6.769598 | lrm: 1.00 | dt: 1274ms | tok/sec: 25,719 | epoch: 1 | remaining: 223s    
step 00061 (25.6%) | loss: 6.761093 | lrm: 1.00 | dt: 1277ms | tok/sec: 25,652 | epoch: 1 | remaining: 222s    
step 00062 (26.1%) | loss: 6.743758 | lrm: 1.00 | dt: 1287ms | tok/sec: 25,468 | epoch: 1 | remaining: 221s    
step 00063 (26.5%) | loss: 6.735210 | lrm: 1.00 | dt: 1273ms | tok/sec: 25,744 | epoch: 1 | remaining: 219s    
