Data/tokenizer loaded in 0.1s
Time budget: 300s
Gradient accumulation steps: 1
Model compiled in 0.4s

step 00046 (5.0%) | loss: 7.364995 | lrm: 1.00 | dt: 336ms | tok/sec: 24,361 | epoch: 1 | remaining: 285s    
step 00047 (5.1%) | loss: 7.345360 | lrm: 1.00 | dt: 334ms | tok/sec: 24,534 | epoch: 1 | remaining: 284s    
step 00048 (5.2%) | loss: 7.326237 | lrm: 1.00 | dt: 342ms | tok/sec: 23,951 | epoch: 1 | remaining: 284s    
step 00049 (5.3%) | loss: 7.314854 | lrm: 1.00 | dt: 333ms | tok/sec: 24,606 | epoch: 1 | remaining: 284s    
step 00050 (5.5%) | loss: 7.304648 | lrm: 1.00 | dt: 333ms | tok/sec: 24,626 | epoch: 1 | remaining: 283s    
step 00051 (5.6%) | loss: 7.297932 | lrm: 1.00 | dt: 332ms | tok/sec: 24,655 | epoch: 1 | remaining: 283s    
step 00052 (5.7%) | loss: 7.293629 | lrm: 1.00 | dt: 332ms | tok/sec: 24,655 | epoch: 1 | remaining: 283s    
step 00053 (5.8%) | loss: 7.284795 | lrm: 1.00 | dt: 332ms | tok/sec: 24,675 | epoch: 1 | remaining: 282s    
step 00054 (5.9%) | loss: 7.266904 | lrm: 1.00 | dt: 332ms | tok/sec: 24,642 | epoch: 1 | remaining: 282s    
step 00055 (6.0%) | loss: 7.244419 | lrm: 1.00 | dt: 334ms | tok/sec: 24,545 | epoch: 1 | remaining: 282s    
step 00056 (6.1%) | loss: 7.223459 | lrm: 1.00 | dt: 333ms | tok/sec: 24,625 | epoch: 1 | remaining: 281s    
step 00057 (6.2%) | loss: 7.202609 | lrm: 1.00 | dt: 332ms | tok/sec: 24,647 | epoch: 1 | remaining: 281s    
step 00058 (6.3%) | loss: 7.192765 | lrm: 1.00 | dt: 339ms | tok/sec: 24,158 | epoch: 1 | remaining: 281s    
step 00059 (6.5%) | loss: 7.175405 | lrm: 1.00 | dt: 333ms | tok/sec: 24,589 | epoch: 1 | remaining: 280s    
step 00060 (6.6%) | loss: 7.159452 | lrm: 1.00 | dt: 332ms | tok/sec: 24,642 | epoch: 1 | remaining: 280s    
step 00061 (6.7%) | loss: 7.158697 | lrm: 1.00 | dt: 332ms | tok/sec: 24,693 | epoch: 1 | remaining: 280s    
step 00062 (6.8%) | loss: 7.141814 | lrm: 1.00 | dt: 333ms | tok/sec: 24,594 | epoch: 1 | remaining: 279s    
step 00063 (6.9%) | loss: 7.123022 | lrm: 1.00 | dt: 332ms | tok/sec: 24,655 | epoch: 1 | remaining: 279s    
step 00064 (7.0%) | loss: 7.103519 | lrm: 1.00 | dt: 333ms | tok/sec: 24,603 | epoch: 1 | remaining: 279s    
step 00065 (7.1%) | loss: 7.083344 | lrm: 1.00 | dt: 334ms | tok/sec: 24,560 | epoch: 1 | remaining: 278s    
step 00066 (7.2%) | loss: 7.068550 | lrm: 1.00 | dt: 335ms | tok/sec: 24,418 | epoch: 1 | remaining: 278s    
step 00067 (7.3%) | loss: 7.062536 | lrm: 1.00 | dt: 333ms | tok/sec: 24,631 | epoch: 1 | remaining: 278s    
step 00068 (7.5%) | loss: 7.051356 | lrm: 1.00 | dt: 338ms | tok/sec: 24,232 | epoch: 1 | remaining: 277s    
step 00069 (7.6%) | loss: 7.048079 | lrm: 1.00 | dt: 335ms | tok/sec: 24,425 | epoch: 1 | remaining: 277s    
step 00070 (7.7%) | loss: 7.040777 | lrm: 1.00 | dt: 336ms | tok/sec: 24,394 | epoch: 1 | remaining: 277s    
step 00071 (7.8%) | loss: 7.020685 | lrm: 1.00 | dt: 331ms | tok/sec: 24,732 | epoch: 1 | remaining: 276s    
step 00072 (7.9%) | loss: 7.008952 | lrm: 1.00 | dt: 332ms | tok/sec: 24,665 | epoch: 1 | remaining: 276s    
step 00073 (8.0%) | loss: 7.007465 | lrm: 1.00 | dt: 332ms | tok/sec: 24,644 | epoch: 1 | remaining: 276s    
step 00074 (8.1%) | loss: 6.987934 | lrm: 1.00 | dt: 332ms | tok/sec: 24,686 | epoch: 1 | remaining: 275s    
step 00075 (8.2%) | loss: 6.975553 | lrm: 1.00 | dt: 331ms | tok/sec: 24,782 | epoch: 1 | remaining: 275s    
step 00076 (8.3%) | loss: 6.954788 | lrm: 1.00 | dt: 332ms | tok/sec: 24,672 | epoch: 1 | remaining: 275s    
step 00077 (8.5%) | loss: 6.939325 | lrm: 1.00 | dt: 341ms | tok/sec: 24,046 | epoch: 1 | remaining: 274s    
step 00078 (8.6%) | loss: 6.927292 | lrm: 1.00 | dt: 331ms | tok/sec: 24,736 | epoch: 1 | remaining: 274s    
step 00079 (8.7%) | loss: 6.915477 | lrm: 1.00 | dt: 332ms | tok/sec: 24,652 | epoch: 1 | remaining: 274s    
step 00080 (8.8%) | loss: 6.930307 | lrm: 1.00 | dt: 335ms | tok/sec: 24,480 | epoch: 1 | remaining: 273s    
step 00081 (8.9%) | loss: 6.931003 | lrm: 1.00 | dt: 332ms | tok/sec: 24,641 | epoch: 1 | remaining: 273s    
step 00082 (9.0%) | loss: 6.919152 | lrm: 1.00 | dt: 333ms | tok/sec: 24,637 | epoch: 1 | remaining: 273s    
step 00083 (9.1%) | loss: 6.903975 | lrm: 1.00 | dt: 330ms | tok/sec: 24,809 | epoch: 1 | remaining: 272s    
step 00084 (9.2%) | loss: 6.889131 | lrm: 1.00 | dt: 332ms | tok/sec: 24,674 | epoch: 1 | remaining: 272s    
step 00085 (9.3%) | loss: 6.867764 | lrm: 1.00 | dt: 333ms | tok/sec: 24,635 | epoch: 1 | remaining: 272s    
step 00086 (9.5%) | loss: 6.852621 | lrm: 1.00 | dt: 332ms | tok/sec: 24,678 | epoch: 1 | remaining: 271s    
step 00087 (9.6%) | loss: 6.833091 | lrm: 1.00 | dt: 347ms | tok/sec: 23,613 | epoch: 1 | remaining: 271s    
step 00088 (9.7%) | loss: 6.823383 | lrm: 1.00 | dt: 334ms | tok/sec: 24,524 | epoch: 1 | remaining: 271s    
step 00089 (9.8%) | loss: 6.825894 | lrm: 1.00 | dt: 332ms | tok/sec: 24,639 | epoch: 1 | remaining: 270s    
step 00090 (9.9%) | loss: 6.818917 | lrm: 1.00 | dt: 334ms | tok/sec: 24,534 | epoch: 1 | remaining: 270s    
step 00091 (10.0%) | loss: 6.816758 | lrm: 1.00 | dt: 331ms | tok/sec: 24,740 | epoch: 1 | remaining: 270s    
step 00092 (10.1%) | loss: 6.807868 | lrm: 1.00 | dt: 332ms | tok/sec: 24,640 | epoch: 1 | remaining: 269s    
step 00093 (10.2%) | loss: 6.790358 | lrm: 1.00 | dt: 331ms | tok/sec: 24,732 | epoch: 1 | remaining: 269s    
step 00094 (10.3%) | loss: 6.778482 | lrm: 1.00 | dt: 333ms | tok/sec: 24,637 | epoch: 1 | remaining: 269s    
step 00095 (10.5%) | loss: 6.753901 | lrm: 1.00 | dt: 335ms | tok/sec: 24,435 | epoch: 1 | remaining: 268s    
step 00096 (10.6%) | loss: 6.749628 | lrm: 1.00 | dt: 333ms | tok/sec: 24,596 | epoch: 1 | remaining: 268s    
step 00097 (10.7%) | loss: 6.730340 | lrm: 1.00 | dt: 332ms | tok/sec: 24,666 | epoch: 1 | remaining: 268s    
step 00098 (10.8%) | loss: 6.719884 | lrm: 1.00 | dt: 340ms | tok/sec: 24,113 | epoch: 1 | remaining: 267s    
step 00099 (10.9%) | loss: 6.718219 | lrm: 1.00 | dt: 335ms | tok/sec: 24,423 | epoch: 1 | remaining: 267s    
step 00100 (11.0%) | loss: 6.718301 | lrm: 1.00 | dt: 336ms | tok/sec: 24,383 | epoch: 1 | remaining: 267s    
step 00101 (11.1%) | loss: 6.703136 | lrm: 1.00 | dt: 332ms | tok/sec: 24,640 | epoch: 1 | remaining: 266s    
step 00102 (11.2%) | loss: 6.689304 | lrm: 1.00 | dt: 333ms | tok/sec: 24,592 | epoch: 1 | remaining: 266s    
step 00103 (11.3%) | loss: 6.684197 | lrm: 1.00 | dt: 332ms | tok/sec: 24,680 | epoch: 1 | remaining: 266s    
step 00104 (11.5%) | loss: 6.656337 | lrm: 1.00 | dt: 332ms | tok/sec: 24,647 | epoch: 1 | remaining: 265s    
step 00105 (11.6%) | loss: 6.645232 | lrm: 1.00 | dt: 332ms | tok/sec: 24,654 | epoch: 1 | remaining: 265s    
step 00106 (11.7%) | loss: 6.629959 | lrm: 1.00 | dt: 332ms | tok/sec: 24,665 | epoch: 1 | remaining: 265s    
step 00107 (11.8%) | loss: 6.615264 | lrm: 1.00 | dt: 331ms | tok/sec: 24,715 | epoch: 1 | remaining: 264s    
step 00108 (11.9%) | loss: 6.608763 | lrm: 1.00 | dt: 340ms | tok/sec: 24,095 | epoch: 1 | remaining: 264s    
step 00109 (12.0%) | loss: 6.612294 | lrm: 1.00 | dt: 332ms | tok/sec: 24,682 | epoch: 1 | remaining: 264s    
step 00110 (12.1%) | loss: 6.619729 | lrm: 1.00 | dt: 333ms | tok/sec: 24,581 | epoch: 1 | remaining: 263s    
step 00111 (12.2%) | loss: 6.621227 | lrm: 1.00 | dt: 332ms | tok/sec: 24,666 | epoch: 1 | remaining: 263s    
step 00112 (12.3%) | loss: 6.609642 | lrm: 1.00 | dt: 332ms | tok/sec: 24,644 | epoch: 1 | remaining: 263s    
step 00113 (12.5%) | loss: 6.598651 | lrm: 1.00 | dt: 331ms | tok/sec: 24,761 | epoch: 1 | remaining: 262s    
step 00114 (12.6%) | loss: 6.580028 | lrm: 1.00 | dt: 332ms | tok/sec: 24,709 | epoch: 1 | remaining: 262s    
step 00115 (12.7%) | loss: 6.578088 | lrm: 1.00 | dt: 332ms | tok/sec: 24,648 | epoch: 1 | remaining: 262s    
step 00116 (12.8%) | loss: 6.570409 | lrm: 1.00 | dt: 332ms | tok/sec: 24,704 | epoch: 1 | remaining: 261s    
step 00117 (12.9%) | loss: 6.555948 | lrm: 1.00 | dt: 332ms | tok/sec: 24,680 | epoch: 1 | remaining: 261s    
step 00118 (13.0%) | loss: 6.548989 | lrm: 1.00 | dt: 339ms | tok/sec: 24,131 | epoch: 1 | remaining: 261s    
step 00119 (13.1%) | loss: 6.546008 | lrm: 1.00 | dt: 333ms | tok/sec: 24,607 | epoch: 1 | remaining: 260s    
step 00120 (13.2%) | loss: 6.548956 | lrm: 1.00 | dt: 334ms | tok/sec: 24,561 | epoch: 1 | remaining: 260s    
step 00121 (13.3%) | loss: 6.536719 | lrm: 1.00 | dt: 332ms | tok/sec: 24,678 | epoch: 1 | remaining: 260s    
step 00122 (13.5%) | loss: 6.528907 | lrm: 1.00 | dt: 332ms | tok/sec: 24,653 | epoch: 1 | remaining: 259s    
step 00123 (13.6%) | loss: 6.515240 | lrm: 1.00 | dt: 332ms | tok/sec: 24,686 | epoch: 1 | remaining: 259s    
step 00124 (13.7%) | loss: 6.500649 | lrm: 1.00 | dt: 331ms | tok/sec: 24,724 | epoch: 1 | remaining: 259s    
step 00125 (13.8%) | loss: 6.493024 | lrm: 1.00 | dt: 333ms | tok/sec: 24,629 | epoch: 1 | remaining: 258s    
step 00126 (13.9%) | loss: 6.482729 | lrm: 1.00 | dt: 337ms | tok/sec: 24,338 | epoch: 1 | remaining: 258s    
step 00127 (14.0%) | loss: 6.481171 | lrm: 1.00 | dt: 343ms | tok/sec: 23,875 | epoch: 1 | remaining: 258s    
step 00128 (14.1%) | loss: 6.457254 | lrm: 1.00 | dt: 333ms | tok/sec: 24,597 | epoch: 1 | remaining: 257s    
step 00129 (14.2%) | loss: 6.464116 | lrm: 1.00 | dt: 335ms | tok/sec: 24,442 | epoch: 1 | remaining: 257s    
step 00130 (14.3%) | loss: 6.467274 | lrm: 1.00 | dt: 333ms | tok/sec: 24,602 | epoch: 1 | remaining: 257s    
step 00131 (14.5%) | loss: 6.462730 | lrm: 1.00 | dt: 333ms | tok/sec: 24,584 | epoch: 1 | remaining: 256s    
step 00132 (14.6%) | loss: 6.461757 | lrm: 1.00 | dt: 332ms | tok/sec: 24,643 | epoch: 1 | remaining: 256s    
step 00133 (14.7%) | loss: 6.454748 | lrm: 1.00 | dt: 331ms | tok/sec: 24,718 | epoch: 1 | remaining: 256s    
step 00134 (14.8%) | loss: 6.441234 | lrm: 1.00 | dt: 331ms | tok/sec: 24,715 | epoch: 1 | remaining: 255s    
