Data/tokenizer loaded in 0.1s
Time budget: 300s
Gradient accumulation steps: 1
Model compiled in 0.4s

step 00046 (5.0%) | loss: 7.320871 | lrm: 1.00 | dt: 333ms | tok/sec: 24,571 | epoch: 1 | remaining: 285s    
step 00047 (5.1%) | loss: 7.300564 | lrm: 1.00 | dt: 335ms | tok/sec: 24,480 | epoch: 1 | remaining: 284s    
step 00048 (5.2%) | loss: 7.277102 | lrm: 1.00 | dt: 344ms | tok/sec: 23,845 | epoch: 1 | remaining: 284s    
step 00049 (5.3%) | loss: 7.264564 | lrm: 1.00 | dt: 333ms | tok/sec: 24,580 | epoch: 1 | remaining: 284s    
step 00050 (5.5%) | loss: 7.250392 | lrm: 1.00 | dt: 333ms | tok/sec: 24,600 | epoch: 1 | remaining: 283s    
step 00051 (5.6%) | loss: 7.241238 | lrm: 1.00 | dt: 333ms | tok/sec: 24,589 | epoch: 1 | remaining: 283s    
step 00052 (5.7%) | loss: 7.235918 | lrm: 1.00 | dt: 333ms | tok/sec: 24,574 | epoch: 1 | remaining: 283s    
step 00053 (5.8%) | loss: 7.225662 | lrm: 1.00 | dt: 332ms | tok/sec: 24,685 | epoch: 1 | remaining: 282s    
step 00054 (5.9%) | loss: 7.204577 | lrm: 1.00 | dt: 332ms | tok/sec: 24,674 | epoch: 1 | remaining: 282s    
step 00055 (6.0%) | loss: 7.181388 | lrm: 1.00 | dt: 332ms | tok/sec: 24,681 | epoch: 1 | remaining: 282s    
step 00056 (6.1%) | loss: 7.158834 | lrm: 1.00 | dt: 332ms | tok/sec: 24,671 | epoch: 1 | remaining: 281s    
step 00057 (6.2%) | loss: 7.138244 | lrm: 1.00 | dt: 332ms | tok/sec: 24,658 | epoch: 1 | remaining: 281s    
step 00058 (6.3%) | loss: 7.131064 | lrm: 1.00 | dt: 338ms | tok/sec: 24,232 | epoch: 1 | remaining: 281s    
step 00059 (6.5%) | loss: 7.110790 | lrm: 1.00 | dt: 332ms | tok/sec: 24,660 | epoch: 1 | remaining: 280s    
step 00060 (6.6%) | loss: 7.091386 | lrm: 1.00 | dt: 332ms | tok/sec: 24,672 | epoch: 1 | remaining: 280s    
step 00061 (6.7%) | loss: 7.088002 | lrm: 1.00 | dt: 334ms | tok/sec: 24,554 | epoch: 1 | remaining: 280s    
step 00062 (6.8%) | loss: 7.067494 | lrm: 1.00 | dt: 334ms | tok/sec: 24,491 | epoch: 1 | remaining: 279s    
step 00063 (6.9%) | loss: 7.048895 | lrm: 1.00 | dt: 332ms | tok/sec: 24,638 | epoch: 1 | remaining: 279s    
step 00064 (7.0%) | loss: 7.025341 | lrm: 1.00 | dt: 333ms | tok/sec: 24,577 | epoch: 1 | remaining: 279s    
step 00065 (7.1%) | loss: 7.004864 | lrm: 1.00 | dt: 340ms | tok/sec: 24,090 | epoch: 1 | remaining: 278s    
step 00066 (7.2%) | loss: 6.985362 | lrm: 1.00 | dt: 341ms | tok/sec: 23,992 | epoch: 1 | remaining: 278s    
step 00067 (7.3%) | loss: 6.976233 | lrm: 1.00 | dt: 335ms | tok/sec: 24,448 | epoch: 1 | remaining: 278s    
step 00068 (7.5%) | loss: 6.962572 | lrm: 1.00 | dt: 341ms | tok/sec: 24,011 | epoch: 1 | remaining: 277s    
step 00069 (7.6%) | loss: 6.955474 | lrm: 1.00 | dt: 333ms | tok/sec: 24,605 | epoch: 1 | remaining: 277s    
